Order ID,Order Total,Order Subtotal,Order Currency,Order Subtotal Excl. Tax,Shipping Incl. Tax,Shipping Excl. Tax,Payment Gateway ID,Payment Gateway,Shipping Method ID
24326,"185,61","185,61",BRL,"185,61",0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24327,"25,5","25,5",BRL,"25,5",0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24328,"22,02","22,02",BRL,"22,02",0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24329,"100,19","100,19",BRL,"100,19",0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24330,18,18,BRL,18,0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24331,"19,9","19,9",BRL,"19,9",0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24332,"109,59",85,BRL,"109,59",24.59,"24,59",asaas-ticket,Boleto Bancario,correios-sedex
24509,"93,29","76,5",BRL,"93,29",16.79,"16,79",asaas-ticket,Boleto Bancario,correios-sedex
24521,"147,44",80,BRL,"147,44",67.44,"67,44",pagseguro,Cartao de Credito,correios-sedex
24522,"152,22","119,9",BRL,"152,22",32.32,"32,32",pagseguro,Cartao de Credito,correios-sedex
24525,"118,27","104,9",BRL,"118,27",13.37,"13,37",pagseguro,Cartao de Credito,correios-sedex
24528,"217,39","217,39",BRL,"217,39",0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24529,"173,69","173,69",BRL,"173,69",0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24530,"43,7","43,7",BRL,"43,7",0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24534,"166,95","131,92",BRL,"166,95",35.03,"35,03",pagseguro,Cartao de Credito,correios-sedex
24538,"118,27","104,9",BRL,"118,27",13.37,"13,37",pagseguro,Cartao de Credito,correios-sedex
24540,"162,15","130,5",BRL,"162,15",31.65,"31,65",pagseguro,Cartao de Credito,correios-pac
24541,"332,56",266,BRL,"332,56",66.56,"66,56",pagseguro,Cartao de Credito,correios-sedex
24543,"111,19","89,9",BRL,"111,19",21.29,"21,29",pagseguro,Cartao de Credito,correios-sedex
24546,"38,14",27,BRL,"38,14",11.14,"11,14",asaas-ticket,Boleto Bancario,correios-sedex
24548,"107,53","72,5",BRL,"107,53",35.03,"35,03",pagseguro,Cartao de Credito,correios-sedex
24552,"161,31","161,31",BRL,"161,31",0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24557,"285,55","108,6",BRL,"285,55",176.95,"176,95",pagseguro,Cartao de Credito,correios-sedex
24558,"87,18",29,BRL,"87,18",58.18,"58,18",pagseguro,Cartao de Credito,correios-sedex
24559,"105,19","44,6",BRL,"105,19",60.59,"60,59",pagseguro,Cartao de Credito,correios-sedex
24560,"93,18",35,BRL,"93,18",58.18,"58,18",pagseguro,Cartao de Credito,correios-sedex
24561,"124,23","89,2",BRL,"124,23",35.03,"35,03",pagseguro,Cartao de Credito,correios-sedex
24567,"151,72","97,8",BRL,"151,72",53.92,"53,92",pagseguro,Cartao de Credito,correios-sedex
24568,"186,03","143,8",BRL,"186,03",42.23,"42,23",pagseguro,Cartao de Credito,correios-sedex
24569,"158,49","80,75",BRL,"158,49",77.74,"77,74",pagseguro,Cartao de Credito,correios-sedex
24570,"95,07","42,5",BRL,"95,07",52.57,"52,57",pagseguro,Cartao de Credito,correios-sedex
24571,"63,42","38,25",BRL,"63,42",25.17,"25,17",pagseguro,Cartao de Credito,correios-pac
24572,"86,37",73,BRL,"86,37",13.37,"13,37",pagseguro,Cartao de Credito,correios-sedex
24576,"266,8","217,5",BRL,"266,8",49.3,"49,3",asaas-ticket,Boleto Bancario,correios-sedex
24577,"172,13",145,BRL,"172,13",27.13,"27,13",pagseguro,Cartao de Credito,correios-sedex
24578,"57,09","44,6",BRL,"57,09",12.49,"12,49",pagseguro,Cartao de Credito,correios-sedex
24581,"98,53","63,5",BRL,"98,53",35.03,"35,03",pagseguro,Cartao de Credito,correios-sedex
24586,"100,37",87,BRL,"100,37",13.37,"13,37",pagseguro,Cartao de Credito,correios-sedex
24589,"202,7","202,7",BRL,"202,7",0.0,0,asaas-ticket,Boleto Bancario,advanced_free_shipping
24272,"37,99","25,5",BRL,"37,99",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24279,"78,67",45,BRL,"78,67",33.67,"33,67",asaas-ticket,Boleto Bancario,correios-sedex
24280,"65,69","53,2",BRL,"65,69",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24266,"96,86",29,BRL,"96,86",67.86,"67,86",asaas-ticket,Boleto Bancario,correios-sedex
24282,"183,54","172,4",BRL,"183,54",11.14,"11,14",asaas-ticket,Boleto Bancario,advanced_free_shipping
24283,"145,5","145,5",BRL,"145,5",0.0,0,asaas-ticket,Boleto Bancario,advanced_free_shipping
24284,"38,04","26,9",BRL,"38,04",11.14,"11,14",asaas-ticket,Boleto Bancario,correios-sedex
24321,"77,49",65,BRL,"77,49",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24322,"141,43","106,4",BRL,"141,43",35.03,"35,03",asaas-ticket,Boleto Bancario,correios-sedex
24422,"152,79",136,BRL,"152,79",16.79,"16,79",asaas-ticket,Boleto Bancario,correios-sedex
24452,"191,45",119,BRL,"191,45",72.45,"72,45",asaas-ticket,Boleto Bancario,correios-pac
24523,"126,29","109,5",BRL,"126,29",16.79,"16,79",asaas-ticket,Boleto Bancario,correios-sedex
24524,"115,35","84,9",BRL,"115,35",30.45,"30,45",asaas-ticket,Boleto Bancario,correios-pac
24526,"194,98","161,31",BRL,"194,98",33.67,"33,67",asaas-ticket,Boleto Bancario,correios-sedex
24527,"76,87","63,5",BRL,"76,87",13.37,"13,37",asaas-ticket,Boleto Bancario,correios-sedex
24531,"65,69","53,2",BRL,"65,69",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24532,"115,33","80,3",BRL,"115,33",35.03,"35,03",asaas-ticket,Boleto Bancario,correios-sedex
24535,"395,54","318,28",BRL,"395,54",77.26,"77,26",asaas-ticket,Boleto Bancario,correios-sedex
24536,"294,61","252,38",BRL,"294,61",42.23,"42,23",asaas-ticket,Boleto Bancario,correios-sedex
24537,"100,93","65,9",BRL,"100,93",35.03,"35,03",asaas-ticket,Boleto Bancario,correios-sedex
24539,"63,42","38,25",BRL,"63,42",25.17,"25,17",asaas-ticket,Boleto Bancario,correios-pac
24542,"110,07","84,9",BRL,"110,07",25.17,"25,17",asaas-ticket,Boleto Bancario,correios-pac
24544,"228,73","152,7",BRL,"228,73",76.03,"76,03",asaas-ticket,Boleto Bancario,correios-sedex
24545,"97,09","72,5",BRL,"97,09",24.59,"24,59",asaas-ticket,Boleto Bancario,correios-sedex
24547,"400,01","319,2",BRL,"400,01",80.81,"80,81",asaas-ticket,Boleto Bancario,correios-sedex
24549,"191,73","149,5",BRL,"191,73",42.23,"42,23",asaas-ticket,Boleto Bancario,correios-sedex
24551,"57,09","44,6",BRL,"57,09",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24573,"100,32","65,6",BRL,"100,32",34.72,"34,72",asaas-ticket,Boleto Bancario,correios-sedex
24574,"42,83","20,6",BRL,"42,83",22.23,"22,23",asaas-ticket,Boleto Bancario,correios-sedex
24575,"57,49",45,BRL,"57,49",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24584,"105,92","84,9",BRL,"105,92",21.02,"21,02",asaas-ticket,Boleto Bancario,correios-pac
24585,"183,56",105,BRL,"183,56",78.56,"78,56",asaas-ticket,Boleto Bancario,correios-pac
24590,"136,43","101,4",BRL,"136,43",35.03,"35,03",asaas-ticket,Boleto Bancario,correios-sedex
24591,"102,29","85,5",BRL,"102,29",16.79,"16,79",asaas-ticket,Boleto Bancario,correios-sedex
24593,"225,54","158,1",BRL,"225,54",67.44,"67,44",asaas-ticket,Boleto Bancario,correios-sedex
24595,"120,8",87,BRL,"120,8",33.8,"33,8",asaas-ticket,Boleto Bancario,correios-pac
24250,"86,67",60,BRL,"86,67",26.67,"26,67",asaas-ticket,Boleto Bancario,correios-pac
24579,"227,81","227,81",BRL,"227,81",0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24588,"119,9","119,9",BRL,"119,9",0.0,0,,N/A,
24594,"157,17","140,38",BRL,"157,17",16.79,"16,79",pagseguro,Cartao de Credito,correios-sedex
